Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Polonnaruwa,30.00,BTS Operation,PD-4310,4 X 4 Double cab," 229,666.67 "," 229,666.67 "," 2,667.00 ", 105.00 , -   , 167.00 , 81.17 ," 13,555.39 "," 9,922.50 ", -   ," 253,144.56 "," 45,566.02 "," 298,710.58 ", -   , -   , -   ," 7,655.56 ",, -   , -   , -   ," 253,144.56 "," 45,566.02 "," 298,710.58 "
Prime,Polonnaruwa,30.00,BTS Operation,PC-0387,Passenger Van," 209,080.42 "," 209,080.42 "," 2,674.00 ", 118.00 , -   , 174.00 , 76.67 ," 13,340.58 "," 11,151.00 ", -   ," 233,572.00 "," 42,042.96 "," 275,614.96 ", -   , -   , -   ," 6,969.35 ",, -   , -   , -   ," 233,572.00 "," 42,042.96 "," 275,614.96 "
Prime,Rathnapura,30.00,RND,PJ-8253,Van Field Use," 125,300.56 "," 125,300.56 "," 2,798.00 ", 56.50 , -   , 298.00 , 55.68 ," 16,592.64 "," 5,339.25 ", -   ," 147,232.45 "," 26,501.84 "," 173,734.29 ", -   , -   , -   ," 4,176.69 ",, -   , -   , -   ," 147,232.45 "," 26,501.84 "," 173,734.29 "
Prime,Rathnapura,30.00,Sites Acquisition,CAY-8398,Passenger Car," 139,500.00 "," 139,500.00 "," 3,384.00 ", 41.50 , 3.00 , 884.00 , 53.40 ," 47,205.60 "," 3,921.75 "," 1,575.00 "," 192,202.35 "," 34,596.42 "," 226,798.77 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 192,202.35 "," 34,596.42 "," 226,798.77 "
Prime,Rathnapura,15.00,BTS Operation,JD-0477,4 X 4 Double cab," 198,900.00 "," 99,450.00 "," 1,461.00 ", 28.50 , -   ,, 81.17 , -   ," 2,693.25 ", -   ," 102,143.25 "," 18,385.79 "," 120,529.04 ", 5.00 , -   ," 10,000.00 "," 6,630.00 ",," (10,000.00)"," (1,800.00)"," (11,800.00)"," 92,143.25 "," 16,585.79 "," 108,729.04 "
Prime,Thanamalwila,30.00,BTS Operation,PC-9586,4 X 4 Double cab," 229,666.67 "," 229,666.67 "," 2,564.73 ", 37.00 , -   , 64.73 , 81.17 ," 5,254.13 "," 3,496.50 ", -   ," 238,417.30 "," 42,915.11 "," 281,332.42 ", -   , -   , -   ," 7,655.56 ",, -   , -   , -   ," 238,417.30 "," 42,915.11 "," 281,332.42 "
Prime,Welikada,30.00,BTS Operation,CBC-9768,Self-Driven Passenger Car," 94,176.00 "," 94,176.00 "," 1,856.00 ", -   , -   ,, 33.50 , -   , -   , -   ," 94,176.00 "," 16,951.68 "," 111,127.68 ", -   , -   , -   ," 3,139.20 ",, -   , -   , -   ," 94,176.00 "," 16,951.68 "," 111,127.68 "
Prime,Welikada,29.00,Pool,CAU-8614,Passenger Car," 139,500.00 "," 134,850.00 "," 4,135.00 ", 74.50 , 2.00 ," 1,635.00 ", 53.40 ," 87,309.00 "," 7,040.25 "," 1,050.00 "," 230,249.25 "," 41,444.87 "," 271,694.12 ", 1.00 , -   ," 2,000.00 "," 4,650.00 ",," (2,000.00)", (360.00)," (2,360.00)"," 228,249.25 "," 41,084.87 "," 269,334.12 "
Prime,Welikada,30.00,Pool,CAA-1612,Passenger Car," 139,500.00 "," 139,500.00 "," 2,823.00 ", 54.00 , -   , 323.00 , 53.40 ," 17,248.20 "," 5,103.00 ", -   ," 161,851.20 "," 29,133.22 "," 190,984.42 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 161,851.20 "," 29,133.22 "," 190,984.42 "
Prime,Welikada,30.00,Pool,KD-5684,Passenger Car," 139,500.00 "," 139,500.00 "," 3,238.00 ", 98.50 , 1.00 , 738.00 , 53.40 ," 39,409.20 "," 9,308.25 ", 525.00 ," 188,742.45 "," 33,973.64 "," 222,716.09 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 188,742.45 "," 33,973.64 "," 222,716.09 "
